STATE,EVENT_TYPE,CZ_NAME,BEGIN_DATE_TIME,BEGIN_LAT,BEGIN_LON
CALIFORNIA,High Wind,LOS ANGELES COUNTY MOUNTAINS EXCLUDING THE SANTA MONICA RANGE,2020-01-29,61.7763,-149.9281
CALIFORNIA,High Wind,VENTURA COUNTY MOUNTAINS,2020-01-29,61.7405,-157.0284
CALIFORNIA,High Wind,LOS ANGELES COUNTY MOUNTAINS EXCLUDING THE SANTA MONICA RANGE,2020-02-10,61.6541,-159.0627
OHIO,Thunderstorm Wind,MADISON,2020-03-28,61.6484,-159.0791
OHIO,Thunderstorm Wind,LICKING,2020-03-28,60.8325,-161.5097
OHIO,Hail,GREENE,2020-03-28,60.5181,-151.139
OHIO,Hail,GREENE,2020-03-28,49.0007,-114.5026
OHIO,Hail,GREENE,2020-03-28,48.9933,-106.182
OHIO,Hail,FAIRFIELD,2020-03-28,48.98,-106.13
OHIO,Hail,LICKING,2020-03-28,48.87,-106.95
OHIO,Hail,LICKING,2020-03-28,48.78,-105.29
OHIO,Thunderstorm Wind,GREENE,2020-03-28,48.7,-106.31
OHIO,Thunderstorm Wind,LOGAN,2020-03-28,48.6984,-116.2073
OHIO,Thunderstorm Wind,SHELBY,2020-03-28,48.6984,-116.2073
CALIFORNIA,High Wind,LOS ANGELES COUNTY MOUNTAINS EXCLUDING THE SANTA MONICA RANGE,2020-01-02,48.68,-107.2
CALIFORNIA,High Wind,VENTURA COUNTY MOUNTAINS,2020-01-02,48.67,-106.48
CALIFORNIA,High Wind,SANTA BARBARA COUNTY MOUNTAINS,2020-01-05,48.64,-106.41
CALIFORNIA,High Wind,LOS ANGELES COUNTY MOUNTAINS EXCLUDING THE SANTA MONICA RANGE,2020-01-05,48.6,-107.08
CALIFORNIA,High Wind,VENTURA COUNTY MOUNTAINS,2020-01-05,48.58,-106.32
OHIO,Thunderstorm Wind,GREENE,2020-03-28,48.58,-106.32
OHIO,Thunderstorm Wind,CLARK,2020-03-28,48.56,-106.05
OHIO,Thunderstorm Wind,GREENE,2020-03-28,48.4587,-116.3398
OHIO,Hail,LOGAN,2020-03-28,48.4317,-107.2143
OHIO,Hail,UNION,2020-03-28,48.34,-99.57
OHIO,Flash Flood,DARKE,2020-03-28,48.3234,-106.8371
CALIFORNIA,High Wind,SANTA BARBARA COUNTY MOUNTAINS,2020-01-28,48.32,-105.7
CALIFORNIA,High Wind,LOS ANGELES COUNTY MOUNTAINS EXCLUDING THE SANTA MONICA RANGE,2020-02-02,48.3191,-106.8463
CALIFORNIA,High Wind,VENTURA COUNTY MOUNTAINS,2020-02-02,48.2994,-116.56
CALIFORNIA,High Wind,LOS ANGELES COUNTY MOUNTAINS EXCLUDING THE SANTA MONICA RANGE,2020-02-04,48.2823,-116.348
KENTUCKY,Thunderstorm Wind,OWEN,2020-03-28,48.27,-111.82
OHIO,Flood,LICKING,2020-03-28,48.27,-99.28
OHIO,Hail,PREBLE,2020-03-28,48.22,-88.37
OHIO,Thunderstorm Wind,GREENE,2020-03-28,48.22,-88.37
OHIO,Flood,MONTGOMERY,2020-03-03,48.2052,-117.728
SOUTH CAROLINA,Thunderstorm Wind,ALLENDALE,2020-03-31,48.2,-106.63
SOUTH CAROLINA,Thunderstorm Wind,COLLETON,2020-03-31,48.2,-106.63
SOUTH CAROLINA,Thunderstorm Wind,COLLETON,2020-03-31,48.2,-106.59
SOUTH CAROLINA,Thunderstorm Wind,COLLETON,2020-03-31,48.1806,-106.6099
GEORGIA,Thunderstorm Wind,SCREVEN,2020-03-31,48.18,-106.64
GEORGIA,Thunderstorm Wind,BULLOCH,2020-03-03,48.16,-106.49
MISSOURI,Hail,REYNOLDS,2020-03-02,48.15,-106.48
SOUTH CAROLINA,Thunderstorm Wind,JASPER,2020-03-31,48.1328,-106.3762
MISSOURI,Hail,REYNOLDS,2020-03-02,48.13,-106.36
MISSOURI,Hail,ST. FRANCOIS,2020-03-02,48.12,-117.17
MISSOURI,Hail,MADISON,2020-03-02,48.1141,-105.2036
ILLINOIS,Hail,WASHINGTON,2020-03-02,48.09,-106.57
MISSOURI,Hail,BOONE,2020-03-27,48.0895,-114.1858
MISSOURI,Hail,WARREN,2020-03-27,48.08,-106.25
GEORGIA,Flash Flood,FORSYTH,2020-02-06,48.02,-106.35
GEORGIA,Flash Flood,CHEROKEE,2020-02-06,48.01,-106.45
GEORGIA,Flash Flood,FULTON,2020-02-06,48.01,-106.4
GEORGIA,Flash Flood,FANNIN,2020-02-06,47.9528,-97.4798
TEXAS,Thunderstorm Wind,SHELBY,2020-04-29,47.95,-104.94
NORTH CAROLINA,Winter Storm,NASH,2020-02-20,47.94,-106.24
NORTH CAROLINA,Winter Storm,EDGECOMBE,2020-02-20,47.8169,-112.1842
GEORGIA,Flash Flood,BARTOW,2020-02-06,47.8,-107.02
GEORGIA,Flash Flood,BARTOW,2020-02-06,47.77,-89.22
GEORGIA,Flash Flood,BARTOW,2020-02-06,47.76,-106.15
GEORGIA,Flash Flood,BARTOW,2020-02-06,47.75,-116.91
MISSOURI,Hail,ST. LOUIS,2020-03-27,47.73,-117.48
SOUTH CAROLINA,Flash Flood,PICKENS,2020-02-06,47.72,-111.68
NORTH CAROLINA,Tornado,CABARRUS,2020-02-06,47.7098,-114.3143
GEORGIA,Flash Flood,FULTON,2020-02-06,47.68,-111.92
GEORGIA,Flash Flood,FULTON,2020-02-06,47.6665,-111.7129
GEORGIA,Flash Flood,FULTON,2020-02-06,47.66,-92.2
NEW YORK,Strong Wind,NORTHEAST SUFFOLK,2020-02-27,47.6502,-120.1501
NEW JERSEY,Strong Wind,EASTERN BERGEN,2020-02-27,47.65,-118.28
NEW YORK,High Wind,NORTHEAST SUFFOLK,2020-02-07,47.62,-117.53
NEW YORK,High Wind,SOUTHEAST SUFFOLK,2020-02-07,47.6,-105.97
NEW YORK,High Wind,NORTHWEST SUFFOLK,2020-02-07,47.57,-111.5286
NEW YORK,High Wind,SOUTHWEST SUFFOLK,2020-02-07,47.57,-106.15
NEW YORK,High Wind,SOUTHERN QUEENS,2020-02-07,47.57,-106.22
NEW YORK,High Wind,NORTHERN NASSAU,2020-02-07,47.56,-107.53
CONNECTICUT,High Wind,SOUTHERN NEW LONDON,2020-02-07,47.56,-106.23
NEW JERSEY,Strong Wind,EASTERN UNION,2020-02-07,47.53,-111.5
NEW YORK,Strong Wind,SOUTHERN NASSAU,2020-02-07,47.5,-112.38
NEW YORK,Strong Wind,NORTHERN QUEENS,2020-02-07,47.47,-105.8
CONNECTICUT,Strong Wind,SOUTHERN FAIRFIELD,2020-02-07,47.47,-105.78
CONNECTICUT,Strong Wind,SOUTHERN NEW HAVEN,2020-02-07,47.42,-105.56
NEW JERSEY,Strong Wind,HUDSON,2020-02-07,47.42,-105.6
NEVADA,High Wind,GREATER LAKE TAHOE AREA,2020-01-03,47.42,-117.53
NEVADA,High Wind,GREATER RENO/CARSON CITY/MINDEN AREA,2020-01-04,47.4,-118.34
NEVADA,High Wind,GREATER RENO/CARSON CITY/MINDEN AREA,2020-01-04,47.33,-106.95
NEVADA,High Wind,GREATER RENO/CARSON CITY/MINDEN AREA,2020-01-04,47.33,-106.17
NEVADA,High Wind,GREATER RENO/CARSON CITY/MINDEN AREA,2020-01-04,47.3,-105.76
NEVADA,High Wind,GREATER RENO/CARSON CITY/MINDEN AREA,2020-01-04,47.29,-105.84
NEVADA,High Wind,GREATER RENO/CARSON CITY/MINDEN AREA,2020-01-04,47.2829,-111.4301
MISSOURI,Hail,STE. GENEVIEVE,2020-03-28,47.28,-105.84
OHIO,Flash Flood,LICKING,2020-03-28,47.25,-106.32
OHIO,Flash Flood,LICKING,2020-03-28,47.25,-106.32
OHIO,Flood,SHELBY,2020-03-28,47.2233,-110.4837
OHIO,Flood,LOGAN,2020-03-28,47.1923,-109.7784
OHIO,Flash Flood,LICKING,2020-03-28,47.18,-87.23
OHIO,Flash Flood,DELAWARE,2020-03-28,47.18,-87.23
ARIZONA,Flash Flood,MARICOPA,2020-03-12,47.18,-87.23
ARIZONA,Heavy Rain,MARICOPA,2020-03-18,47.18,-87.23
GULF OF MEXICO,Marine Thunderstorm Wind,TAMPA BAY,2020-02-26,47.18,-87.23
GULF OF MEXICO,Marine Thunderstorm Wind,ENGLEWOOD TO TARPON SPRINGS FL OUT 20NM,2020-02-26,47.14,-118.37
